time,F_gravity,F_s,F_fric,F_gfl,F_gfr,F_grl,F_grr
31.342,-588.5999755859375,8147.18408203125,0.5114675760269165,147.00564575195312,148.04820251464844,146.25509643554688,147.2910614013672
31.442,-588.5999755859375,8146.16943359375,0.5137477517127991,146.7219696044922,147.22366333007812,147.0771026611328,147.5772705078125
31.542,-588.5999755859375,8145.0810546875,0.5150240063667297,147.1209259033203,147.23004150390625,147.07000732421875,147.17904663085938
31.642,-588.5999755859375,8143.83837890625,0.5148235559463501,147.03880310058594,147.1607208251953,147.1393280029297,147.26113891601562
31.742,-588.5999755859375,8142.4130859375,0.5133782029151917,147.63699340820312,146.7054443359375,147.5972137451172,146.6603546142578
31.842,-588.5999755859375,8140.833984375,0.5110224485397339,147.2821044921875,147.3638153076172,146.9362030029297,147.01788330078125
31.942,-588.5999755859375,8139.13232421875,0.5080928206443787,147.82534790039062,146.42974853515625,147.87625122070312,146.46865844726562
32.042,-588.5999755859375,8137.42333984375,0.5054658651351929,147.50421142578125,147.03475952148438,147.2659149169922,146.7951202392578
32.142,-588.5999755859375,8135.7568359375,0.5037766695022583,147.66018676757812,146.84974670410156,147.4522705078125,146.63780212402344
32.242,-588.5999755859375,8134.119140625,0.5032559633255005,147.03878784179688,147.39503479003906,146.9053497314453,147.26083374023438
32.342,-588.5999755859375,8132.56787109375,0.5042262077331543,147.13572692871094,147.16033935546875,147.13966369628906,147.16427612304688
32.442,-588.5999755859375,8131.10888671875,0.5063183903694153,146.52308654785156,147.6692657470703,146.6347198486328,147.77293395996094
32.542,-588.5999755859375,8129.76708984375,0.5829551219940186,148.45462036132812,144.3043670654297,150.04954528808594,145.7914581298828
32.642,-588.5999755859375,8128.48291015625,0.660013735294342,147.14291381835938,145.79379272460938,148.51181030273438,147.1514892578125
32.742,-588.5999755859375,8127.20849609375,0.7367331981658936,145.36106872558594,147.90921020507812,146.41029357910156,148.91941833496094
32.842,-588.5999755859375,8126.08447265625,0.8144586086273193,149.8346405029297,144.5323944091797,149.85626220703125,144.376708984375
32.942,-588.5999755859375,8125.11474609375,0.8915350437164307,147.9617156982422,146.33335876464844,147.9748077392578,146.33010864257812
33.042,-588.5999755859375,8124.38330078125,0.9692665934562683,145.06094360351562,150.1499481201172,144.2266845703125,149.1624298095703
33.142,-588.5999755859375,8123.77490234375,1.0481847524642944,148.3648223876953,146.47265625,147.83839416503906,145.92413330078125
33.242,-588.5999755859375,8123.25048828125,1.1280335187911987,148.17466735839844,144.85182189941406,149.48255920410156,146.09095764160156
